femoral_width,femoral_AP,tibial_width,tibial_AP,size_label
67.5,36.2,65.6,32.3,small
64.3,43.6,67.1,34.9,small
68.2,38.0,62.5,29.9,small
72.6,34.8,62.0,31.0,small
63.8,40.5,72.1,30.8,small
63.8,34.3,74.8,27.6,small
72.9,38.6,67.6,32.9,small
68.8,32.1,73.0,32.8,small
62.7,34.0,69.8,32.0,small
67.7,38.6,64.8,31.3,small
62.7,40.2,69.8,27.8,small
62.7,38.5,75.7,30.7,small
66.2,37.7,67.8,31.0,small
55.4,37.1,75.8,29.6,small
56.4,33.6,54.9,31.5,small
62.2,35.8,72.1,33.2,small
59.9,36.6,68.4,37.7,small
66.6,41.2,66.5,32.5,small
60.5,39.0,68.5,32.8,small
57.9,32.7,58.1,31.8,small
72.3,39.0,66.9,26.2,small
63.9,36.8,69.8,31.9,small
65.3,36.0,75.4,32.2,small
57.9,39.8,65.4,39.4,small
62.3,41.1,64.0,31.4,small
65.6,40.8,65.5,32.9,small
59.2,35.5,72.6,31.9,small
66.9,37.1,69.6,28.5,small
62.0,39.0,65.4,35.4,small
63.5,40.9,70.6,34.3,small
79.0,40.3,89.6,40.3,medium
70.5,40.6,68.7,31.7,medium
82.0,42.8,81.4,39.5,medium
68.0,44.0,69.9,36.0,medium
77.9,43.8,75.6,33.1,medium
86.0,45.5,83.4,37.4,medium
70.0,43.0,78.3,36.6,medium
72.2,47.4,72.6,34.2,medium
75.5,42.2,74.4,36.2,medium
72.5,51.2,81.4,34.8,medium
67.2,44.9,74.3,36.3,medium
75.3,40.4,79.1,38.0,medium
69.7,39.8,78.2,40.8,medium
77.4,44.4,74.7,32.3,medium
70.4,42.3,88.7,42.4,medium
82.7,45.1,81.2,30.1,medium
71.1,44.4,67.9,35.5,medium
73.4,42.8,78.9,37.8,medium
79.1,40.5,74.7,36.8,medium
68.8,38.5,82.3,34.1,medium
76.1,41.7,74.0,35.4,medium
81.5,45.6,77.4,34.5,medium
67.0,43.6,80.5,34.2,medium
75.9,39.3,82.3,38.5,medium
76.3,43.5,72.0,37.1,medium
78.9,44.2,76.3,33.9,medium
68.8,40.3,75.6,38.7,medium
68.4,43.5,74.7,36.9,medium
77.6,43.2,86.8,38.4,medium
76.5,39.6,80.0,37.9,medium
76.3,44.1,71.7,33.5,medium
76.7,44.7,82.6,34.3,medium
71.6,46.2,88.6,38.2,medium
76.2,46.2,83.2,37.8,medium
76.5,38.9,70.4,35.9,medium
71.4,40.2,75.6,36.4,medium
84.3,44.5,84.3,39.8,medium
77.4,44.5,74.5,34.2,medium
69.0,44.5,80.2,37.6,medium
78.3,54.6,81.9,35.4,medium
70.1,44.7,73.4,35.3,medium
78.9,46.4,77.7,39.3,medium
80.8,45.9,61.8,38.5,medium
70.9,45.0,72.9,38.4,medium
79.8,42.1,76.7,39.9,medium
77.1,45.3,71.8,36.1,medium
79.1,40.7,86.2,38.0,medium
84.5,42.3,70.8,35.1,medium
73.8,41.5,75.8,37.0,medium
71.2,43.2,78.7,35.6,medium
85.5,48.9,83.8,43.1,large
88.0,52.4,85.0,37.6,large
80.9,50.6,77.4,36.4,large
95.5,47.5,85.4,44.8,large
80.0,47.9,84.2,42.0,large
78.9,45.0,88.8,38.8,large
90.8,47.9,89.7,45.7,large
89.0,47.1,97.4,41.3,large
88.1,49.0,92.8,44.5,large
88.1,45.5,85.1,41.2,large
84.9,49.6,83.5,47.2,large
80.5,52.6,90.5,46.3,large
85.4,47.7,81.4,40.3,large
81.6,49.2,97.2,43.9,large
89.9,50.1,93.9,42.9,large
84.3,46.8,85.7,45.1,large
80.9,48.7,79.4,38.1,large
83.4,48.0,94.8,43.1,large
87.1,48.3,87.4,44.2,large
82.2,45.7,94.2,35.7,large
80.9,48.1,80.0,37.5,large
86.2,49.5,85.0,34.9,large
86.2,52.4,88.0,40.2,large
82.5,50.9,88.2,43.2,large
82.6,54.5,85.7,45.5,large
86.2,45.7,91.1,41.2,large
77.8,50.6,82.7,45.9,large
78.0,48.6,87.3,36.9,large
81.4,54.6,88.6,35.9,large
83.9,45.6,90.6,40.8,large
